proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_09_45_52_164_9667496.alethe;"0,078707";"0,003065";"0,00221";"0,027030000000000002";"0,001544";"0,13181900000000002";16;16;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_07_49_04_075_5141844.alethe;"0,086747";"0,005362";"0,002146";"0,029739";"0,001553";"0,144103";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_07_46_56_736_8400646.alethe;"0,035324";"0,002303";"0,001822";"0,011793";"0,000439";"0,064505";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_16_41_24_138_5326566.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_16_43_842_18705674.alethe;"0,060446";"0,003622";"0,002496";"0,026948";"0,000717";"0,110715";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_21_15_02_145_7660672.alethe;"0,096532";"0,005091999999999999";"0,002065";"0,036167";"0,000503";"0,158993";21;21;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_44_25_495_18140682.alethe;"0,170351";"0,005791";"0,002519";"0,060635";"0,0015680000000000002";"0,269349";43;43;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_52_11_773_8442672.alethe;"0,153456";"0,008567";"0,003002";"0,05159";"0,000513";"0,24085";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_17_54_27_924_5511902.alethe;"0,12629100000000001";"0,004340999999999999";"0,002242";"0,04246";"0,002143";"0,203201";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_19_10_43_401_5453018.alethe;"0,208409";"0,004928999999999999";"0,00245";"0,07249799999999999";"0,002822";"0,32644599999999996";53;53;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_17_41_16_079_5302010.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_19_46_17_131_5213370.alethe;"0,28875599999999996";"0,007684";"0,004463";"0,10761599999999999";"0,002369";"0,458109";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_01_08_01_197_5338622.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_52_10_754_8440880.alethe;"0,090042";"0,005433";"0,002683";"0,040204000000000004";"0,000473";"0,158407";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_09_29_511_18566192.alethe;"1,737635";"0,026401";"0,003594";"0,593558";"0,003372";"2,529977";479;479;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_07_28_08_034_7411138.alethe;"0,056257";"0,005174";"0,002063";"0,020808";"0,00042";"0,098622";12;12;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_39_12_904_5134392.alethe;"0,092209";"0,003502";"0,0022630000000000003";"0,033836";"0,002272";"0,158309";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_39_12_113_5132758.alethe;"0,23654";"0,006263";"0,002824";"0,080428";"0,00276";"0,366977";57;57;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_48_07_801_8204892.alethe;"0,048594000000000005";"0,004913";"0,002923";"0,018011";"0,000493";"0,091493";3;3;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_45_13_873_18156564.alethe;"0,083586";"0,004429000000000001";"0,002481";"0,028118999999999998";"0,002908";"0,14077499999999998";17;17;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_40_38_881_6197584.alethe;"0,515108";"0,014901";"0,003092";"0,16567700000000002";"0,00305";"0,764922";121;121;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_09_09_13_580_5081634.alethe;"0,091266";"0,003943";"0,001928";"0,033186";"0,00047";"0,14829900000000001";20;20;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_51_10_265_5032164.alethe;"0,116381";"0,00293";"0,0022570000000000003";"0,046483000000000003";"0,001605";"0,192813";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_38_29_184_18061524.alethe;"0,09101400000000001";"0,003453";"0,002386";"0,032513";"0,0015090000000000001";"0,152032";19;19;0;;;;;1;
